id,name,group,short_description,识别锚点,线条与造型,人物设计,色彩体系,上色与渲染,光影,分镜与版式,材质与表面,最适合题材,避免混淆,GPT_Image_2_5_核心提示词
1,商业全彩国漫,东亚商业数字漫画,国产主流网络漫画视觉，精致数字线稿、完整上色、电影化光影，兼顾写实与动漫感。,精致俊美角色、商业级全彩、电影光影,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免纯日式赛璐璐或韩式柔雾Webtoon,漫画视觉体系：商业全彩国漫。核心识别锚点：精致俊美角色、商业级全彩、电影光影。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免纯日式赛璐璐或韩式柔雾Webtoon。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
2,日系动漫化彩漫,东亚商业数字漫画,以日漫人物设计和赛璐璐上色为核心，表情鲜明、动作夸张、速度线和漫画符号丰富。,日系角色设计、硬边赛璐璐、速度线和漫画符号,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免写实厚涂与摄影感,漫画视觉体系：日系动漫化彩漫。核心识别锚点：日系角色设计、硬边赛璐璐、速度线和漫画符号。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免写实厚涂与摄影感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
3,韩式 Webtoon 感彩漫,东亚商业数字漫画,干净现代的数字彩漫风格，人物修长时尚，柔和渐变与电影式特写突出情绪。,修长时尚人物、细线、柔和渐变、电影情绪特写,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免传统日漫大音效和美漫重墨,漫画视觉体系：韩式 Webtoon 感彩漫。核心识别锚点：修长时尚人物、细线、柔和渐变、电影情绪特写。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免传统日漫大音效和美漫重墨。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
4,少年热血漫画,东亚商业数字漫画,速度线、爆发构图、夸张透视和巨大音效字强化冲突与热血感。,爆发姿态、极端透视、速度线、巨大音效字,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免均匀安静构图,漫画视觉体系：少年热血漫画。核心识别锚点：爆发姿态、极端透视、速度线、巨大音效字。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免均匀安静构图。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
5,青年漫画,东亚商业数字漫画,人物比例更写实，阴影和环境细节更重，适合悬疑、犯罪、职场和成熟题材。,写实人体、成熟表演、重环境细节、克制阴影,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免Q版和幼态,漫画视觉体系：青年漫画。核心识别锚点：写实人体、成熟表演、重环境细节、克制阴影。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免Q版和幼态。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
6,少女漫画,东亚商业数字漫画,柔和线条、花瓣星光、眼神特写和大量留白，强调恋爱与细腻情绪。,纤细柔线、花瓣星光、眼神特写、大留白,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免粗重黑块,漫画视觉体系：少女漫画。核心识别锚点：纤细柔线、花瓣星光、眼神特写、大留白。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免粗重黑块。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
7,女性漫画,东亚商业数字漫画,成熟都市人物和生活细节为主，情感克制，强调关系、职场与现实生活。,成年都市人物、时装、自然身体语言、现实关系,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免少女漫画幼态甜腻,漫画视觉体系：女性漫画。核心识别锚点：成年都市人物、时装、自然身体语言、现实关系。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免少女漫画幼态甜腻。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
8,日常四格漫画,东亚商业数字漫画,固定四格结构，以铺垫、发展、转折、包袱完成轻量搞笑叙事。,固定四格、起承转合、末格包袱,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免复杂跨格,漫画视觉体系：日常四格漫画。核心识别锚点：固定四格、起承转合、末格包袱。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免复杂跨格。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
9,日式搞笑漫画,东亚商业数字漫画,颜艺、Q版切换、夸张反应和突然留白制造高密度喜剧效果。,极端颜艺、Q版切换、突然留白和吐槽框,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免全程精致平稳,漫画视觉体系：日式搞笑漫画。核心识别锚点：极端颜艺、Q版切换、突然留白和吐槽框。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免全程精致平稳。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
10,校园青春漫画,东亚商业数字漫画,清爽线稿、明亮色调和轻快分镜，突出校园日常与青春气息。,清新校园、阳光操场、放学路、轻电影感,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免暗黑成人化,漫画视觉体系：校园青春漫画。核心识别锚点：清新校园、阳光操场、放学路、轻电影感。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免暗黑成人化。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
